Node,Cluster
0,0
701,0
714,2
1239,0
1680,2
2514,0
3320,0
3561,2
4134,2
5617,0
6478,2
6713,0
7132,0
9105,0
10738,2
10994,0
12334,0
12524,0
12542,0
13343,0
13446,0
13462,0
13867,2
13989,0
14501,2
16755,0
17228,2
19262,0
19444,0
20258,0
20299,0
20685,0
21003,0
24915,2
29571,0
32636,0
1,0
680,2
2828,2
3265,0
4804,2
4808,2
6830,2
8282,0
9768,2
11908,2
12859,0
14777,0
14778,0
15557,0
19548,0
2,0
1312,0
3659,0
4323,0
5661,0
7018,0
7377,0
19918,0
29863,2
33260,2
33650,2
36114,0
3,2
2152,2
15290,2
17429,2
4,1
1668,2
3356,0
31976,1
5,2
8070,2
8075,2
14366,2
6,2
4837,0
10565,2
12968,2
7,2
109,2
3491,2
3582,2
4513,0
6432,2
7805,2
7859,2
9156,2
10763,2
12222,2
15169,2
15830,2
16759,2
17210,2
18924,2
19306,0
21844,2
22277,2
22822,2
25969,2
26085,2
26101,2
26229,2
29720,2
32934,2
33419,2
8,2
25,2
26,2
209,2
557,2
786,0
1103,2
1653,2
2386,2
2834,2
3701,2
3999,2
4266,2
5653,2
5662,2
6140,2
6453,2
6939,0
8001,2
8468,2
10913,2
12552,2
13890,0
17374,2
22205,2
22982,2
27357,2
33554,2
9,2
102,2
559,1
2911,2
4267,2
5779,2
7224,2
7743,2
8912,2
10794,2
11266,2
11486,2
11499,2
12182,0
12217,2
14779,2
14780,2
16509,2
17110,2
22758,2
30217,2
36088,2
766,2
2711,0
2819,0
2856,0
3269,2
4766,0
5462,0
9038,0
9708,0
10139,2
11351,0
12322,2
12946,0
13749,0
15802,0
17506,2
17858,0
20401,2
22909,2
24093,0
28573,0
33651,1
33657,0
35916,0
2852,0
3354,2
3549,0
4812,0
5432,2
11427,2
12302,0
13571,2
13767,2
16852,2
17184,2
19945,0
22773,0
32244,2
33287,0
33653,0
36727,0
174,2
2637,2
2915,0
3557,2
12513,0
3593,2
13582,2
29895,0
52,0
3462,0
3790,1
5384,0
5486,0
6147,0
6724,2
7029,0
8151,0
8167,0
9121,0
9394,2
9811,0
12270,0
12970,0
16338,0
18229,2
19115,0
19864,0
4230,2
5668,0
6388,0
6461,2
7015,0
7303,2
7718,0
9271,2
9808,2
9908,2
9929,2
11456,2
12271,2
14742,2
17974,0
19318,2
19429,2
20676,2
33668,0
6106,0
7065,0
9316,0
12260,0
16572,0
30099,0
9803,2
22855,1
22781,2
26201,2
23844,2
33314,2
1784,2
2914,2
4264,2
6102,2
8121,2
8560,0
10910,2
13649,2
14745,2
14992,2
16966,2
19024,2
19355,2
23352,2
25751,0
30081,2
30380,2
33694,2
2553,2
2843,2
6307,2
6334,2
7258,2
11734,2
11771,2
17820,2
23123,2
